CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,77556.46,3,Champions
12347,2,8,5633.32,3,Champions
12348,75,5,2019.3999999999999,0,Loyal
12349,19,4,4428.6900000000005,2,At Risk
12350,310,1,334.40000000000003,1,Lost
12351,375,1,300.93,1,Lost
12352,36,10,2849.84,3,Champions
12353,204,2,406.76,1,Lost
12354,232,1,1079.4,1,Lost
12355,214,2,947.61,0,Loyal
12356,23,6,6373.68,3,Champions
12357,33,3,18287.66,3,Champions
12358,2,5,3887.07,3,Champions
12359,58,10,8935.94,3,Champions
12360,52,8,4252.89,3,Champions
12361,287,4,511.25,0,Loyal
12362,3,11,5356.2300000000005,3,Champions
12363,110,2,552.0,1,Lost
12364,8,4,1313.1,2,At Risk
12365,291,2,641.38,1,Lost
12366,634,1,500.24,1,Lost
12367,4,1,168.9,2,At Risk
12368,628,1,917.7,1,Lost
12369,413,3,1791.15,0,Loyal
12370,51,7,4320.31,0,Loyal
12371,45,5,4067.38,0,Loyal
12372,72,3,1298.04,0,Loyal
12373,311,3,1127.65,0,Loyal
12374,25,4,2989.2200000000003,2,At Risk
12375,11,2,457.5,2,At Risk
12376,390,2,503.15,1,Lost
12377,315,4,3426.32,0,Loyal
12378,130,2,5416.32,0,Loyal
12379,82,4,1620.22,0,Loyal
12380,22,11,9676.300000000001,3,Champions
12381,5,5,1845.31,2,At Risk
12383,185,5,1850.56,0,Loyal
12384,29,2,585.27,2,At Risk
12385,379,1,1938.4,0,Loyal
12386,338,2,660.8000000000001,1,Lost
12387,415,1,143.94,1,Lost
12388,16,8,3901.11,3,Champions
12389,403,3,1433.33,0,Loyal
12390,80,1,549.84,1,Lost
12391,22,6,2773.42,3,Champions
12392,591,1,234.75000000000003,1,Lost
12393,72,6,2399.45,0,Loyal
12394,64,2,1272.48,2,At Risk
12395,19,15,5067.27,3,Champions
12396,674,1,931.4300000000001,1,Lost
12397,36,2,2409.9,2,At Risk
12398,46,1,1635.6599999999999,2,At Risk
12399,119,7,1962.3,0,Loyal
12400,414,1,205.25,1,Lost
12401,303,1,84.3,1,Lost
12402,323,6,1256.9,0,Loyal
12403,50,2,1019.36,2,At Risk
12404,682,1,63.24,1,Lost
12405,149,1,1710.39,0,Loyal
12406,22,5,6390.36,3,Champions
12407,50,5,1708.12,0,Loyal
12408,33,8,4340.77,3,Champions
12409,79,7,23419.29,3,Champions
12410,309,3,1013.71,0,Loyal
12411,410,1,346.9,1,Lost
12412,75,6,2596.93,0,Loyal
12413,67,4,999.45,0,Loyal
12414,217,6,952.4100000000001,0,Loyal
12415,24,28,144458.37,3,Champions
12416,657,1,202.56,1,Lost
12417,3,20,6816.91,3,Champions
12418,113,4,2021.2,0,Loyal
12419,386,2,503.01,1,Lost
12420,64,1,600.39,2,At Risk
12421,16,6,1098.6,2,At Risk
12422,96,17,5231.8,3,Champions
12423,1,10,2622.39,3,Champions
12424,163,4,3340.0299999999997,0,Loyal
12425,78,2,1741.41,0,Loyal
12426,195,2,1345.21,0,Loyal
12427,22,3,1129.3,2,At Risk
12428,26,9,7956.46,3,Champions
12429,9,8,7485.91,3,Champions
12430,43,1,256.4,2,At Risk
12431,36,27,10857.970000000001,3,Champions
12432,43,5,5059.32,0,Loyal
12433,1,10,20581.260000000002,3,Champions
12434,85,3,1103.43,0,Loyal
12435,80,6,13925.93,3,Champions
12436,100,1,509.01,1,Lost
12437,2,39,12683.4,3,Champions
12438,14,2,2906.85,2,At Risk
12439,683,2,1158.18,0,Loyal
12440,462,2,859.2,1,Lost
12441,367,1,347.1,1,Lost
12442,3,1,172.06,2,At Risk
12443,732,1,485.31,1,Lost
12444,21,5,5005.46,3,Champions
12445,22,2,434.98,2,At Risk
12446,58,1,1002.3100000000001,2,At Risk
